,Explicabilidad
cerebellum-R,3158.6330182845113
cerebellum-L,2743.6082966464273
Third-ventricle,2689.567366576547
caudate-nucleus-L,2568.1990194263904
Lateral-ventricle-excluding-temporal-horn-R,2438.8974964393465
Lateral-ventricle-excluding-temporal-horn-L,2407.6786439231055
pallidum-L,2353.351441181352
brainstem-excluding-substantia-nigra,2261.2589441433474
corpus-callosum,2149.6366376739506
caudate-nucleus-R,2100.540024288558
CG-posterior-cingulate-gyrus-R,2058.850363506355
substantia-nigra-L,2021.6984223865327
thalamus-L,1946.152679891138
thalamus-R,1919.3339229124779
CG-anterior-cingulate-gyrus-L,1866.6902345966237
CG-anterior-cingulate-gyrus-R,1821.2832657647398
insula-middle-short-gyrus-L,1642.8670903612756
CG-posterior-cingulate-gyrus-L,1634.0154446495203
OL-lingual-gyrus-L,1542.0232612470904
insula-posterior-short-gyrus-L,1492.7076628298728
putamen-L,1455.5029605337515
OL-lingual-gyrus-R,1256.4342531582618
insula-anterior-long-gyrus-L,1085.0530502882882
substantia-nigra-R,997.2907802751528
insula-anterior-short-gyrus-L,900.2112743761437
pallidum-R,865.556927016394
FL-subcallosal-area-L,804.1008045149438
nucleus-accumbens-L,801.1489542976755
insula-anterior-long-gyrus-R,756.1567630835178
FL-subcallosal-area-R,733.8362336171853
FL-precentral-gyrus-R,636.6787599059251
insula-posterior-short-gyrus-R,614.4436385201069
insula-posterior-long-gyrus-L,585.4869261544419
insula-anterior-inferior-cortex-L,555.9834364775435
TL-amygdala-L,541.7816225816351
TL-hippocampus-L,512.4385192837505
insula-middle-short-gyrus-R,498.96625973507605
PL-postcentral-gyrus-R,386.1163174067532
nucleus-accumbens-R,383.4163139839317
putamen-R,382.8024325474343
TL-parahippocampal-and-ambient-gyrus-L,350.22124522077974
Lateral-ventricle-temporal-horn-L,317.1361478527955
FL-precentral-gyrus-L,186.31522326289283
FL-superior-frontal-gyrus-L,147.87654405125176
FL-superior-frontal-gyrus-R,-24.67812646812615
FL-middle-frontal-gyrus-L,-67.46211476135628
FL-inferior-frontal-gyrus-L,-107.36275308839507
TL-parahippocampal-and-ambient-gyrus-R,-145.59258799603225
insula-anterior-short-gyrus-R,-238.4610113463302
insula-posterior-long-gyrus-R,-252.89988898607552
TL-hippocampus-R,-259.82471602628857
OL-lateral-remainder-occipital-lobe-L,-278.847205215552
FL-subgenual-frontal-cortex-L,-297.22545929094696
OL-cuneus-L,-299.36708958089577
TL-fusiform-gyrus-R,-365.6354262304647
TL-amygdala-R,-366.533169192799
PL-postcentral-gyrus-L,-392.7944890261413
FL-posterior-orbital-gyrus-L,-426.200947157065
FL-middle-frontal-gyrus-R,-443.8821789908321
PL-supramarginal-gyrus-R,-445.0739290281531
TL-posterior-temporal-lobe-L,-472.430349124035
Lateral-ventricle-temporal-horn-R,-477.5059009729151
FL-subgenual-frontal-cortex-R,-493.96664797409227
TL-fusiform-gyrus-L,-506.3842678460048
OL-cuneus-R,-542.3210755975114
TL-posterior-temporal-lobe-R,-592.186966268212
TL-superior-temporal-gyrus-middle-part-L,-624.7314220997608
insula-anterior-inferior-cortex-R,-628.6057903050973
OL-lateral-remainder-occipital-lobe-R,-645.165042229514
PL-superior-parietal-gyrus-R,-690.7283160357747
FL-inferior-frontal-gyrus-R,-741.0883201311998
FL-pre-subgenual-frontal-cortex-L,-742.6790135778679
FL-straight-gyrus-L,-855.4427746185976
FL-pre-subgenual-frontal-cortex-R,-855.442989732897
TL-superior-temporal-gyrus-anterior-part-L,-994.707799731316
TL-middle-and-inferior-temporal-gyrus-L,-1087.9121636944642
FL-straight-gyrus-R,-1117.6267526494044
PL-supramarginal-gyrus-L,-1136.5884876159987
TL-anterior-temporal-lobe-medial-part-L,-1145.0827087264674
PL-superior-parietal-gyrus-L,-1148.5298160082393
FL-posterior-orbital-gyrus-R,-1152.2855096202625
TL-superior-temporal-gyrus-middle-part-R,-1166.6046752276134
TL-anterior-temporal-lobe-medial-part-R,-1282.8598693311183
FL-medial-orbital-gyrus-L,-1367.8467359579479
TL-middle-and-inferior-temporal-gyrus-R,-1381.0170508872186
FL-lateral-orbital-gyrus-L,-1408.8967218189193
FL-anterior-orbital-gyrus-L,-1472.943661460671
FL-anterior-orbital-gyrus-R,-1479.4284889708815
TL-anterior-temporal-lobe-lateral-part-L,-1521.1758872196592
PL-angular-gyrus-R,-1548.1787331703617
FL-medial-orbital-gyrus-R,-1554.4893935720347
TL-anterior-temporal-lobe-lateral-part-R,-1576.086336067965
FL-lateral-orbital-gyrus-R,-1629.4024922329297
TL-superior-temporal-gyrus-anterior-part-R,-1656.7608551630387
PL-angular-gyrus-L,-1817.9571995010929
