,Explicabilidad
Lateral-ventricle-excluding-temporal-horn-R,4032.481798958454
pallidum-R,2713.2495062282183
insula-posterior-long-gyrus-R,2695.2096773744456
thalamus-R,2602.393043045802
insula-anterior-long-gyrus-R,2530.5909885144383
corpus-callosum,2286.778192420995
insula-middle-short-gyrus-R,2172.7769126811554
insula-posterior-short-gyrus-R,2076.4298501704343
caudate-nucleus-R,2044.682524918442
Lateral-ventricle-excluding-temporal-horn-L,2011.7507536827266
Third-ventricle,1980.1284394162433
CG-posterior-cingulate-gyrus-R,1921.2434156629774
Lateral-ventricle-temporal-horn-R,1912.4162383521734
putamen-R,1794.545570274584
insula-anterior-short-gyrus-R,1705.183779988648
CG-anterior-cingulate-gyrus-R,1702.7908516375694
CG-anterior-cingulate-gyrus-L,1643.8877549072024
insula-anterior-inferior-cortex-R,1636.067341606024
CG-posterior-cingulate-gyrus-L,1531.297833515287
TL-superior-temporal-gyrus-middle-part-R,1404.7353433972603
caudate-nucleus-L,1177.290839386125
TL-hippocampus-R,1099.934636530276
substantia-nigra-R,1005.2615528687381
FL-posterior-orbital-gyrus-R,880.6910302541261
FL-subcallosal-area-R,848.5877061780992
TL-amygdala-R,802.3435733715255
TL-parahippocampal-and-ambient-gyrus-R,783.6360699593992
FL-subgenual-frontal-cortex-R,761.040573023152
nucleus-accumbens-R,697.7752039834894
insula-middle-short-gyrus-L,693.4519338697636
TL-superior-temporal-gyrus-anterior-part-R,686.6037970646116
thalamus-L,673.2352809155648
FL-precentral-gyrus-R,662.406742602081
FL-subcallosal-area-L,642.6102904519917
TL-posterior-temporal-lobe-R,594.6890397538357
FL-pre-subgenual-frontal-cortex-R,577.6397470835093
TL-fusiform-gyrus-R,565.1869466323192
PL-postcentral-gyrus-R,554.9744778924944
pallidum-L,532.7382328709946
insula-posterior-short-gyrus-L,492.9347720567264
FL-inferior-frontal-gyrus-R,491.2316929872677
TL-middle-and-inferior-temporal-gyrus-R,490.53659434626996
FL-superior-frontal-gyrus-L,474.7001803200471
insula-anterior-short-gyrus-L,430.3330743465976
putamen-L,363.9335529096071
FL-superior-frontal-gyrus-R,352.7950387609758
FL-subgenual-frontal-cortex-L,330.47527133826935
FL-precentral-gyrus-L,304.60020167903264
FL-pre-subgenual-frontal-cortex-L,294.71466088946204
nucleus-accumbens-L,292.0033951900044
FL-straight-gyrus-R,286.9176615864266
FL-medial-orbital-gyrus-R,210.9668583645079
TL-anterior-temporal-lobe-medial-part-R,206.50850577951496
PL-supramarginal-gyrus-R,200.40098081390232
OL-lingual-gyrus-R,190.96979924471825
insula-anterior-long-gyrus-L,173.01966066939548
FL-lateral-orbital-gyrus-R,155.1541519362239
FL-middle-frontal-gyrus-L,154.6269185353921
insula-anterior-inferior-cortex-L,138.02512392959576
FL-anterior-orbital-gyrus-R,137.6772744936581
TL-anterior-temporal-lobe-lateral-part-R,134.67316711828462
FL-middle-frontal-gyrus-R,133.39511006383233
substantia-nigra-L,77.98861163454194
FL-straight-gyrus-L,76.1243103057882
PL-superior-parietal-gyrus-R,26.47267266114387
TL-amygdala-L,15.237260402469841
brainstem-excluding-substantia-nigra,14.884879473077634
cerebellum-R,-28.710176857720114
TL-hippocampus-L,-48.715313985316996
FL-inferior-frontal-gyrus-L,-56.76784457615883
PL-postcentral-gyrus-L,-119.48942695278443
TL-parahippocampal-and-ambient-gyrus-L,-140.28929810154156
FL-posterior-orbital-gyrus-L,-143.89197055997386
insula-posterior-long-gyrus-L,-162.62270873974134
Lateral-ventricle-temporal-horn-L,-171.51491258399827
FL-medial-orbital-gyrus-L,-190.98653847466315
cerebellum-L,-226.8664103787165
OL-lingual-gyrus-L,-331.51296665263783
TL-anterior-temporal-lobe-medial-part-L,-335.1409874947747
TL-superior-temporal-gyrus-anterior-part-L,-351.586807657314
TL-fusiform-gyrus-L,-355.5271201286631
FL-anterior-orbital-gyrus-L,-368.9255621379896
PL-angular-gyrus-R,-426.215122766918
TL-anterior-temporal-lobe-lateral-part-L,-429.7440998110278
FL-lateral-orbital-gyrus-L,-458.1275709989316
OL-cuneus-R,-468.70459496768007
TL-superior-temporal-gyrus-middle-part-L,-469.930692885527
PL-superior-parietal-gyrus-L,-476.7003706274416
TL-middle-and-inferior-temporal-gyrus-L,-519.9267627891827
TL-posterior-temporal-lobe-L,-570.4685470918758
OL-lateral-remainder-occipital-lobe-R,-608.271337223213
PL-supramarginal-gyrus-L,-632.6312533869614
OL-cuneus-L,-742.9701186151539
PL-angular-gyrus-L,-876.0102788762854
OL-lateral-remainder-occipital-lobe-L,-1000.6514486055888
