,Explicabilidad
Lateral-ventricle-excluding-temporal-horn-R,3626.9175957610264
Lateral-ventricle-excluding-temporal-horn-L,2945.587052171142
corpus-callosum,2549.771288159439
Third-ventricle,2383.7726224952535
CG-posterior-cingulate-gyrus-R,2302.486449499816
CG-anterior-cingulate-gyrus-L,2179.0746201286606
CG-anterior-cingulate-gyrus-R,2165.350896459682
caudate-nucleus-L,2083.9450716785987
caudate-nucleus-R,2014.4567104462462
thalamus-R,1915.2261860721924
CG-posterior-cingulate-gyrus-L,1856.014343061348
cerebellum-R,1830.6352621405272
pallidum-L,1621.3400844705516
cerebellum-L,1612.0887103917696
insula-middle-short-gyrus-L,1492.5317493710832
brainstem-excluding-substantia-nigra,1410.3099669043572
thalamus-L,1304.4501927906815
insula-posterior-short-gyrus-L,1287.3200221840361
insula-anterior-long-gyrus-R,1194.4976086820275
pallidum-R,1126.9393548595267
putamen-L,1043.5835941439177
substantia-nigra-L,832.2054224338661
insula-posterior-short-gyrus-R,808.3914818069883
insula-anterior-short-gyrus-L,799.4324738177604
insula-anterior-long-gyrus-L,784.5952838847157
insula-middle-short-gyrus-R,728.2217862815777
FL-subcallosal-area-R,713.0733662594806
OL-lingual-gyrus-R,709.580088321064
FL-subcallosal-area-L,695.3731334168234
insula-posterior-long-gyrus-R,686.3470244376937
putamen-R,668.0489551599611
OL-lingual-gyrus-L,604.3040672835112
substantia-nigra-R,584.8158511266776
FL-precentral-gyrus-R,558.1129912523996
Lateral-ventricle-temporal-horn-R,495.5036819708414
nucleus-accumbens-L,493.4097577079398
FL-superior-frontal-gyrus-L,456.5785488835566
nucleus-accumbens-R,403.09406121011347
insula-anterior-inferior-cortex-L,369.5939701002799
PL-postcentral-gyrus-R,341.18994120977015
TL-hippocampus-R,316.0069577672162
FL-precentral-gyrus-L,315.79678929276054
TL-parahippocampal-and-ambient-gyrus-R,314.5340749648747
FL-superior-frontal-gyrus-R,301.45745467524654
insula-anterior-short-gyrus-R,268.04643133572216
TL-amygdala-L,242.71146825588954
insula-posterior-long-gyrus-L,233.16412296073125
TL-hippocampus-L,214.48466604136442
TL-fusiform-gyrus-R,174.63401820829884
insula-anterior-inferior-cortex-R,158.4760078102552
TL-amygdala-R,145.95965020729858
FL-middle-frontal-gyrus-L,142.96796527499038
FL-subgenual-frontal-cortex-R,117.8834924960949
TL-parahippocampal-and-ambient-gyrus-L,100.94939394702102
Lateral-ventricle-temporal-horn-L,43.79138836451939
FL-subgenual-frontal-cortex-L,4.681326539597827
FL-inferior-frontal-gyrus-L,-30.97865377836602
FL-pre-subgenual-frontal-cortex-R,-56.06019791885002
TL-superior-temporal-gyrus-middle-part-R,-153.70976471946608
FL-pre-subgenual-frontal-cortex-L,-165.50900498402697
TL-posterior-temporal-lobe-R,-185.0609194609458
FL-middle-frontal-gyrus-R,-194.69741464432502
FL-posterior-orbital-gyrus-R,-211.38262916398602
PL-postcentral-gyrus-L,-268.44395760354223
FL-straight-gyrus-R,-291.84657814883514
FL-posterior-orbital-gyrus-L,-306.6153252676241
FL-straight-gyrus-L,-340.24282007433044
TL-middle-and-inferior-temporal-gyrus-R,-386.12045012905776
FL-medial-orbital-gyrus-R,-411.76466425358956
PL-supramarginal-gyrus-R,-411.94314602711785
TL-anterior-temporal-lobe-medial-part-R,-419.29692740528486
FL-inferior-frontal-gyrus-R,-421.7133051633879
PL-superior-parietal-gyrus-R,-437.14911775174653
FL-anterior-orbital-gyrus-R,-453.30403771160957
TL-fusiform-gyrus-L,-466.118340936446
TL-superior-temporal-gyrus-anterior-part-R,-491.9289411525952
TL-anterior-temporal-lobe-lateral-part-R,-562.891950428293
TL-superior-temporal-gyrus-middle-part-L,-597.3626877994199
TL-posterior-temporal-lobe-L,-631.0590130725676
FL-lateral-orbital-gyrus-R,-638.9664223779341
TL-superior-temporal-gyrus-anterior-part-L,-656.5669784453875
FL-medial-orbital-gyrus-L,-675.3024717837619
TL-anterior-temporal-lobe-medial-part-L,-717.4178154770752
OL-cuneus-L,-791.0871921719403
OL-cuneus-R,-806.596461870202
OL-lateral-remainder-occipital-lobe-L,-825.9887455688713
TL-middle-and-inferior-temporal-gyrus-L,-845.9190727481256
FL-anterior-orbital-gyrus-L,-862.408186059994
FL-lateral-orbital-gyrus-L,-906.2052291780346
PL-superior-parietal-gyrus-L,-938.2342690258398
OL-lateral-remainder-occipital-lobe-R,-954.7038274952059
TL-anterior-temporal-lobe-lateral-part-L,-972.6746652997773
PL-supramarginal-gyrus-L,-1006.8249531960739
PL-angular-gyrus-R,-1180.8949529316073
PL-angular-gyrus-L,-1421.6960419607483
