Region,Explicabilidad
cerebellum-R,4728.398384734977
caudate-nucleus-L,4019.36010047153
Lateral-ventricle-excluding-temporal-horn-R,3928.0812289958226
Lateral-ventricle-excluding-temporal-horn-L,3864.514094181734
brainstem-excluding-substantia-nigra,3649.2350317290025
Third-ventricle,3515.4827944500303
corpus-callosum,3470.7246976067545
cerebellum-L,3324.9950859711903
caudate-nucleus-R,3303.1706933366545
thalamus-L,3130.129671663675
thalamus-R,3129.6884087094454
pallidum-L,3078.489188433868
CG-posterior-cingulate-gyrus-R,3067.9749567066397
CG-anterior-cingulate-gyrus-L,2810.3184636840874
substantia-nigra-L,2781.0987683077788
CG-anterior-cingulate-gyrus-R,2777.766662428627
CG-posterior-cingulate-gyrus-L,2496.8684348713064
OL-lingual-gyrus-R,2478.823453200855
OL-lingual-gyrus-L,2457.5982305743264
insula-middle-short-gyrus-L,2191.617255887305
insula-posterior-short-gyrus-L,2181.016995867074
putamen-L,1932.3180556336395
insula-anterior-long-gyrus-L,1551.0593147675756
substantia-nigra-R,1424.5647266396873
pallidum-R,1286.6121319049828
insula-anterior-long-gyrus-R,1272.9279887688085
insula-posterior-short-gyrus-R,1082.7028129155567
nucleus-accumbens-L,1062.7627441531322
insula-anterior-short-gyrus-L,1023.6741523982239
FL-subcallosal-area-R,941.6638683480835
FL-subcallosal-area-L,928.4233460508747
insula-middle-short-gyrus-R,908.1454215158802
FL-precentral-gyrus-R,812.0225107879189
putamen-R,587.4119412871787
nucleus-accumbens-R,557.3131637957595
TL-parahippocampal-and-ambient-gyrus-R,539.4418465070886
insula-anterior-inferior-cortex-L,513.4793466373224
PL-postcentral-gyrus-R,448.12014872189826
TL-parahippocampal-and-ambient-gyrus-L,393.03461207638526
TL-hippocampus-L,374.59759982790024
TL-fusiform-gyrus-R,254.2768895357576
insula-posterior-long-gyrus-L,233.78935462255822
FL-precentral-gyrus-L,197.45627882144723
TL-amygdala-L,177.63287257348915
FL-superior-frontal-gyrus-L,-59.79355194596565
Lateral-ventricle-temporal-horn-L,-191.67404433046067
FL-superior-frontal-gyrus-R,-198.8822419154791
TL-hippocampus-R,-259.32234320687496
insula-anterior-short-gyrus-R,-316.90009974694584
TL-posterior-temporal-lobe-R,-344.34142599552894
OL-cuneus-L,-413.20192473910896
FL-middle-frontal-gyrus-L,-433.45928688972407
FL-inferior-frontal-gyrus-L,-452.1195663735038
OL-lateral-remainder-occipital-lobe-R,-548.7714188349165
OL-lateral-remainder-occipital-lobe-L,-575.9976878771905
insula-posterior-long-gyrus-R,-594.2972968311071
PL-postcentral-gyrus-L,-639.6745771381153
PL-supramarginal-gyrus-R,-675.8680603741475
Lateral-ventricle-temporal-horn-R,-695.6923543547035
TL-amygdala-R,-736.7731895235993
TL-fusiform-gyrus-L,-737.0509862567965
OL-cuneus-R,-737.438608895516
FL-middle-frontal-gyrus-R,-755.7745910402123
TL-posterior-temporal-lobe-L,-768.077789655524
insula-anterior-inferior-cortex-R,-877.0672879962954
FL-subgenual-frontal-cortex-L,-953.6464223487142
PL-superior-parietal-gyrus-R,-1030.641613023888
FL-posterior-orbital-gyrus-L,-1061.14557422547
FL-subgenual-frontal-cortex-R,-1105.8144234861686
TL-middle-and-inferior-temporal-gyrus-R,-1246.0230675226367
FL-inferior-frontal-gyrus-R,-1262.0131010758262
TL-superior-temporal-gyrus-middle-part-L,-1326.496587415711
TL-middle-and-inferior-temporal-gyrus-L,-1335.0732213205852
TL-anterior-temporal-lobe-medial-part-R,-1374.405598489336
TL-anterior-temporal-lobe-lateral-part-R,-1403.0380202951121
FL-pre-subgenual-frontal-cortex-L,-1519.443841358237
TL-anterior-temporal-lobe-medial-part-L,-1535.5747894408082
FL-pre-subgenual-frontal-cortex-R,-1578.4133017380173
TL-anterior-temporal-lobe-lateral-part-L,-1646.8632807205463
PL-superior-parietal-gyrus-L,-1714.8642716554905
FL-straight-gyrus-L,-1729.4945725919827
TL-superior-temporal-gyrus-middle-part-R,-1744.5145785571028
PL-supramarginal-gyrus-L,-1779.8820883662831
FL-anterior-orbital-gyrus-R,-1787.6192242708992
FL-posterior-orbital-gyrus-R,-1833.6714807976196
FL-medial-orbital-gyrus-L,-1868.2664028529257
FL-medial-orbital-gyrus-R,-1882.5682078887714
TL-superior-temporal-gyrus-anterior-part-L,-1929.4467577803139
FL-straight-gyrus-R,-1944.122630061881
FL-anterior-orbital-gyrus-L,-2043.8482088647154
PL-angular-gyrus-R,-2085.113274571362
FL-lateral-orbital-gyrus-R,-2189.3963418417875
FL-lateral-orbital-gyrus-L,-2290.3271548295274
PL-angular-gyrus-L,-2500.810338632704
TL-superior-temporal-gyrus-anterior-part-R,-2594.5054000740433
