Region,Explicabilidad
Lateral-ventricle-excluding-temporal-horn-R,5833.11519575768
insula-posterior-long-gyrus-R,4260.259477070475
thalamus-R,4088.042339853754
insula-anterior-long-gyrus-R,3926.2214135728323
pallidum-R,3627.967497105813
caudate-nucleus-R,3179.8032538245343
insula-posterior-short-gyrus-R,3139.5032271157847
corpus-callosum,3036.26885274166
putamen-R,3016.755863048882
insula-middle-short-gyrus-R,2886.4322319057605
Lateral-ventricle-excluding-temporal-horn-L,2863.6455827813697
CG-posterior-cingulate-gyrus-R,2710.688392541636
Lateral-ventricle-temporal-horn-R,2550.631385436671
Third-ventricle,2540.6094431008023
insula-anterior-inferior-cortex-R,2394.082384696225
CG-anterior-cingulate-gyrus-R,2254.5307476076136
CG-anterior-cingulate-gyrus-L,2253.6693662574276
CG-posterior-cingulate-gyrus-L,2174.4953439317846
insula-anterior-short-gyrus-R,2134.1231544749717
TL-superior-temporal-gyrus-middle-part-R,2042.4443456685974
caudate-nucleus-L,1996.07485226378
substantia-nigra-R,1929.9711723952996
TL-hippocampus-R,1853.5700577153889
insula-middle-short-gyrus-L,1166.2659161286592
FL-subcallosal-area-R,1124.682848081484
TL-parahippocampal-and-ambient-gyrus-R,1106.0821260945388
nucleus-accumbens-R,1093.3987995599318
FL-posterior-orbital-gyrus-R,1082.9439520719714
TL-amygdala-R,1049.4544191034522
thalamus-L,996.7128143510836
TL-superior-temporal-gyrus-anterior-part-R,971.3098089129343
insula-posterior-short-gyrus-L,911.8709913121107
FL-precentral-gyrus-R,909.3925657003724
TL-posterior-temporal-lobe-R,894.6424540246196
pallidum-L,886.3485063543461
TL-fusiform-gyrus-R,805.4087442872657
FL-subgenual-frontal-cortex-R,789.0004306134291
PL-postcentral-gyrus-R,763.754439592034
TL-middle-and-inferior-temporal-gyrus-R,740.3926003007008
FL-subcallosal-area-L,729.840737726659
insula-anterior-short-gyrus-L,647.8605821734477
putamen-L,642.445968932322
FL-inferior-frontal-gyrus-R,597.7800775522833
FL-superior-frontal-gyrus-L,583.1223531945972
FL-pre-subgenual-frontal-cortex-R,495.2655921069996
nucleus-accumbens-L,469.2873212783063
FL-precentral-gyrus-L,457.82981093913094
FL-superior-frontal-gyrus-R,389.8439541063451
insula-anterior-long-gyrus-L,326.5895715985801
OL-lingual-gyrus-R,316.772810121082
insula-anterior-inferior-cortex-L,276.3390791092457
PL-supramarginal-gyrus-R,261.14641589872843
FL-straight-gyrus-R,258.60872885539305
TL-anterior-temporal-lobe-medial-part-R,223.69005893966784
substantia-nigra-L,221.1865896259576
FL-medial-orbital-gyrus-R,219.70161392686504
FL-subgenual-frontal-cortex-L,206.67582222097178
TL-anterior-temporal-lobe-lateral-part-R,177.95506385288843
FL-anterior-orbital-gyrus-R,177.93670976909587
FL-lateral-orbital-gyrus-R,177.75429700671708
FL-middle-frontal-gyrus-L,169.21173316216147
FL-pre-subgenual-frontal-cortex-L,153.04107768562295
cerebellum-R,77.30579834393806
FL-middle-frontal-gyrus-R,72.8904106471706
brainstem-excluding-substantia-nigra,35.09419588084365
PL-superior-parietal-gyrus-R,-8.5596940532246
FL-straight-gyrus-L,-29.83964125236491
FL-inferior-frontal-gyrus-L,-60.58199602412284
TL-amygdala-L,-146.71662257899916
FL-posterior-orbital-gyrus-L,-188.60763208820322
PL-postcentral-gyrus-L,-195.20322463258904
TL-parahippocampal-and-ambient-gyrus-L,-253.20459394495253
FL-medial-orbital-gyrus-L,-260.89707695386
TL-hippocampus-L,-303.62860803037705
FL-anterior-orbital-gyrus-L,-456.5583923129819
TL-anterior-temporal-lobe-medial-part-L,-481.14818660035485
insula-posterior-long-gyrus-L,-494.73309710223214
cerebellum-L,-536.5560971958618
OL-lingual-gyrus-L,-541.3114533481837
Lateral-ventricle-temporal-horn-L,-543.7568490150996
TL-anterior-temporal-lobe-lateral-part-L,-592.7539269321437
TL-superior-temporal-gyrus-anterior-part-L,-607.6201696423642
TL-fusiform-gyrus-L,-622.232215777074
PL-angular-gyrus-R,-629.5727626971408
FL-lateral-orbital-gyrus-L,-676.0521358017428
PL-superior-parietal-gyrus-L,-739.2064899389572
TL-middle-and-inferior-temporal-gyrus-L,-754.108675749961
OL-cuneus-R,-798.3716934140157
TL-superior-temporal-gyrus-middle-part-L,-850.467290269537
OL-lateral-remainder-occipital-lobe-R,-886.9466640029439
TL-posterior-temporal-lobe-L,-951.2705746951812
PL-supramarginal-gyrus-L,-1011.4705858678864
OL-cuneus-L,-1217.1199124970788
PL-angular-gyrus-L,-1222.5662955522835
OL-lateral-remainder-occipital-lobe-L,-1398.2766900283812
