Region,Explicabilidad
Lateral-ventricle-excluding-temporal-horn-R,5565.390339863024
Lateral-ventricle-excluding-temporal-horn-L,4278.724410388071
thalamus-R,3667.421293609539
corpus-callosum,3487.5239732694918
caudate-nucleus-L,3288.6382620862814
Third-ventricle,3199.043621796105
caudate-nucleus-R,3194.897459492015
CG-posterior-cingulate-gyrus-R,2952.253001600955
CG-anterior-cingulate-gyrus-L,2758.6186360211523
CG-anterior-cingulate-gyrus-R,2674.8867048862285
cerebellum-R,2563.337761524511
CG-posterior-cingulate-gyrus-L,2447.104396832969
insula-anterior-long-gyrus-R,2387.186519988351
thalamus-L,2137.6430342243507
pallidum-R,2011.617657128485
brainstem-excluding-substantia-nigra,1936.3566202876507
pallidum-L,1918.520782621036
insula-middle-short-gyrus-L,1831.243095449291
insula-posterior-short-gyrus-R,1804.529255653999
OL-lingual-gyrus-R,1762.2757217160267
substantia-nigra-R,1688.2922180318722
insula-posterior-short-gyrus-L,1681.106236989003
insula-posterior-long-gyrus-R,1524.1586633069094
putamen-R,1493.438891031703
insula-middle-short-gyrus-R,1469.0809904953528
cerebellum-L,1415.312289500391
substantia-nigra-L,1357.1068381311673
putamen-L,1288.5100080220382
OL-lingual-gyrus-L,1115.7099276847014
TL-parahippocampal-and-ambient-gyrus-R,1042.221021917174
insula-anterior-long-gyrus-L,1004.991586565484
Lateral-ventricle-temporal-horn-R,994.6505659267889
FL-subcallosal-area-R,935.0664489714654
insula-anterior-short-gyrus-L,933.2997986174221
TL-hippocampus-R,912.7982648303165
FL-subcallosal-area-L,785.8833018161632
FL-precentral-gyrus-R,720.5089973982298
nucleus-accumbens-L,659.2322668482045
TL-fusiform-gyrus-R,613.1799478398378
nucleus-accumbens-R,606.6203383822885
insula-anterior-short-gyrus-R,493.1371303857334
insula-anterior-inferior-cortex-R,429.01029759204226
TL-posterior-temporal-lobe-R,387.5615520797944
FL-superior-frontal-gyrus-L,371.5995123124605
PL-postcentral-gyrus-R,362.56072796002576
FL-precentral-gyrus-L,360.8826091094109
insula-anterior-inferior-cortex-L,285.18838229142625
FL-superior-frontal-gyrus-R,173.13201171865606
TL-amygdala-R,56.57993449393122
TL-superior-temporal-gyrus-middle-part-R,14.88397511854488
FL-middle-frontal-gyrus-L,-26.387810243886488
TL-hippocampus-L,-165.89542916626496
TL-parahippocampal-and-ambient-gyrus-L,-190.45436852332836
FL-inferior-frontal-gyrus-L,-216.08996495496513
TL-middle-and-inferior-temporal-gyrus-R,-217.13303528122466
insula-posterior-long-gyrus-L,-231.7336748990729
TL-amygdala-L,-278.68684393549694
FL-middle-frontal-gyrus-R,-318.00826288168616
FL-subgenual-frontal-cortex-R,-357.8786557133163
OL-lateral-remainder-occipital-lobe-R,-437.8040338487379
FL-subgenual-frontal-cortex-L,-439.4569205427431
FL-posterior-orbital-gyrus-R,-466.1733246436492
PL-postcentral-gyrus-L,-467.67290312646605
PL-supramarginal-gyrus-R,-477.6191918115686
FL-inferior-frontal-gyrus-R,-479.5128658705533
Lateral-ventricle-temporal-horn-L,-510.63834701810566
OL-cuneus-R,-601.3012639259132
PL-superior-parietal-gyrus-R,-633.2180489492371
OL-cuneus-L,-635.6974992903882
TL-anterior-temporal-lobe-medial-part-R,-652.3309999633319
TL-anterior-temporal-lobe-lateral-part-R,-654.1977734361461
FL-pre-subgenual-frontal-cortex-R,-730.8742070378484
FL-posterior-orbital-gyrus-L,-776.6212095034864
FL-pre-subgenual-frontal-cortex-L,-789.8187139754231
OL-lateral-remainder-occipital-lobe-L,-824.3453041042977
FL-anterior-orbital-gyrus-R,-850.993817121188
FL-medial-orbital-gyrus-R,-889.1843879963279
TL-fusiform-gyrus-L,-898.5425151553072
TL-posterior-temporal-lobe-L,-927.9396063364912
FL-straight-gyrus-R,-971.1182159138499
TL-superior-temporal-gyrus-anterior-part-R,-1028.9987360595069
FL-straight-gyrus-L,-1045.4962546477186
FL-lateral-orbital-gyrus-R,-1088.244487241765
TL-middle-and-inferior-temporal-gyrus-L,-1109.3050965457749
FL-medial-orbital-gyrus-L,-1134.842006918937
TL-superior-temporal-gyrus-middle-part-L,-1140.1545741336363
PL-superior-parietal-gyrus-L,-1264.4227395716198
TL-anterior-temporal-lobe-medial-part-L,-1282.4834340938594
FL-anterior-orbital-gyrus-L,-1326.7629444830009
TL-anterior-temporal-lobe-lateral-part-L,-1363.2511721168612
PL-angular-gyrus-R,-1451.8926705504516
PL-supramarginal-gyrus-L,-1467.292511256189
TL-superior-temporal-gyrus-anterior-part-L,-1658.6940662799934
FL-lateral-orbital-gyrus-L,-1684.6093318538153
PL-angular-gyrus-L,-1916.019405757408
