Region,Total Explicabilidad
Lateral-ventricle-excluding-temporal-horn-R,21047.070773616237
Lateral-ventricle-excluding-temporal-horn-L,15744.777103672874
thalamus-R,14280.744727569552
corpus-callosum,13752.56064217399
caudate-nucleus-L,12944.42030363248
caudate-nucleus-R,12693.510231574797
Third-ventricle,12427.347727557904
CG-posterior-cingulate-gyrus-R,12197.642820304634
CG-anterior-cingulate-gyrus-L,11200.647616931037
CG-anterior-cingulate-gyrus-R,10850.432011232404
cerebellum-R,10255.454187551308
CG-posterior-cingulate-gyrus-L,10018.679559457962
insula-anterior-long-gyrus-R,9662.661801083766
pallidum-R,8686.51285944555
thalamus-L,8501.365829326971
brainstem-excluding-substantia-nigra,8487.044858551144
pallidum-L,8228.252748057173
insula-posterior-short-gyrus-R,7461.646111106929
insula-middle-short-gyrus-L,7420.991164791472
insula-posterior-short-gyrus-L,6883.460675307784
substantia-nigra-R,6551.885729751766
insula-posterior-long-gyrus-R,6414.398749302305
insula-middle-short-gyrus-R,6341.0639900941405
putamen-R,6190.637073628201
OL-lingual-gyrus-R,5993.063441292468
cerebellum-L,5814.838312728045
substantia-nigra-L,5775.288347566479
putamen-L,5501.827521938502
TL-parahippocampal-and-ambient-gyrus-R,4199.224335715039
insula-anterior-long-gyrus-L,4143.075409575732
Lateral-ventricle-temporal-horn-R,4004.144690426643
FL-subcallosal-area-R,3878.7768173853738
OL-lingual-gyrus-L,3782.0399667824013
insula-anterior-short-gyrus-L,3780.7539561446906
TL-hippocampus-R,3699.141745021768
FL-subcallosal-area-L,3221.884317685351
FL-precentral-gyrus-R,3175.197941688661
nucleus-accumbens-L,2917.6020483423454
TL-fusiform-gyrus-R,2798.188433156085
nucleus-accumbens-R,2782.1532678291837
insula-anterior-short-gyrus-R,2364.7853906162663
insula-anterior-inferior-cortex-R,2166.3426718607384
PL-postcentral-gyrus-R,1988.6637317414816
FL-precentral-gyrus-L,1562.9230344756502
insula-anterior-inferior-cortex-L,1549.4565986052166
FL-superior-frontal-gyrus-L,1497.0879005737156
TL-posterior-temporal-lobe-R,1230.5500161105551
FL-superior-frontal-gyrus-R,665.739033565219
TL-amygdala-R,539.3086490615291
TL-superior-temporal-gyrus-middle-part-R,202.9750285882426
TL-parahippocampal-and-ambient-gyrus-L,12.811979875206106
TL-hippocampus-L,-122.40479657278851
FL-middle-frontal-gyrus-L,-132.45909846499413
TL-amygdala-L,-412.3405100775508
insula-posterior-long-gyrus-L,-717.9709647528498
TL-middle-and-inferior-temporal-gyrus-R,-725.2753194838305
FL-inferior-frontal-gyrus-L,-801.9190429584535
FL-subgenual-frontal-cortex-R,-1169.7444001168597
FL-middle-frontal-gyrus-R,-1469.8435246244908
PL-supramarginal-gyrus-R,-1472.9704194736676
PL-postcentral-gyrus-L,-1708.5831430262672
Lateral-ventricle-temporal-horn-L,-1738.7056071877905
FL-subgenual-frontal-cortex-L,-1788.206205187492
FL-posterior-orbital-gyrus-R,-1916.5013767546805
FL-inferior-frontal-gyrus-R,-1981.1132647119575
TL-anterior-temporal-lobe-medial-part-R,-2246.412231119504
TL-anterior-temporal-lobe-lateral-part-R,-2301.017317527409
PL-superior-parietal-gyrus-R,-2348.3709321398883
FL-pre-subgenual-frontal-cortex-R,-2525.70334591015
FL-posterior-orbital-gyrus-L,-2799.512473187894
FL-pre-subgenual-frontal-cortex-L,-2946.128281915609
TL-fusiform-gyrus-L,-3043.5653370637215
OL-lateral-remainder-occipital-lobe-R,-3068.518316151626
FL-anterior-orbital-gyrus-R,-3284.1782013162565
OL-cuneus-R,-3367.01251880178
FL-medial-orbital-gyrus-R,-3411.4429888688496
TL-superior-temporal-gyrus-anterior-part-R,-3541.2352964840893
FL-straight-gyrus-R,-3662.755778627647
OL-cuneus-L,-3674.618199939813
TL-posterior-temporal-lobe-L,-3681.9743019750936
FL-straight-gyrus-L,-3925.8449419160775
FL-lateral-orbital-gyrus-R,-4224.125535932021
OL-lateral-remainder-occipital-lobe-L,-4273.986067773648
TL-middle-and-inferior-temporal-gyrus-L,-4317.166880298199
TL-superior-temporal-gyrus-middle-part-L,-4491.370274524845
FL-medial-orbital-gyrus-L,-4492.1316337902945
TL-anterior-temporal-lobe-medial-part-L,-4532.557127725529
TL-anterior-temporal-lobe-lateral-part-L,-4907.711008543702
PL-superior-parietal-gyrus-L,-5180.467661277253
FL-anterior-orbital-gyrus-L,-5222.397621345863
TL-superior-temporal-gyrus-anterior-part-L,-5646.52242839533
PL-angular-gyrus-R,-5796.357787634389
PL-supramarginal-gyrus-L,-5829.794243082938
FL-lateral-orbital-gyrus-L,-6252.620387936183
PL-angular-gyrus-L,-7782.391026380314
